p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8,p2_9,p2_10,move,opponent
C,C,D,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,D,ForgivingTitForTatPlayer
C,C,D,D,E,E,E,E,E,E,C,C,C,D,E,E,E,E,E,E,D,ForgivingTitForTatPlayer
C,C,D,D,D,E,E,E,E,E,C,C,C,D,D,E,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,D,D,D,C,E,E,E,E,C,C,C,D,D,D,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,D,D,D,C,C,E,E,E,C,C,C,D,D,D,C,E,E,E,C,ForgivingTitForTatPlayer
C,C,D,D,D,C,C,C,E,E,C,C,C,D,D,D,C,C,E,E,C,ForgivingTitForTatPlayer
C,C,D,D,D,C,C,C,C,E,C,C,C,D,D,D,C,C,C,E,D,ForgivingTitForTatPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,SimpletonPlayer
D,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,D,SimpletonPlayer
D,D,E,E,E,E,E,E,E,E,C,D,E,E,E,E,E,E,E,E,C,SimpletonPlayer
D,D,C,E,E,E,E,E,E,E,C,D,C,E,E,E,E,E,E,E,C,SimpletonPlayer
D,D,C,C,E,E,E,E,E,E,C,D,C,C,E,E,E,E,E,E,C,SimpletonPlayer
D,D,C,C,C,E,E,E,E,E,C,D,C,C,C,E,E,E,E,E,C,SimpletonPlayer
D,D,C,C,C,C,E,E,E,E,C,D,C,C,C,C,E,E,E,E,D,SimpletonPlayer
D,D,C,C,C,C,D,E,E,E,C,D,C,C,C,C,C,E,E,E,D,SimpletonPlayer
D,D,C,C,C,C,D,D,E,E,C,D,C,C,C,C,C,D,E,E,C,SimpletonPlayer
D,D,C,C,C,C,D,D,C,E,C,D,C,C,C,C,C,D,C,E,D,SimpletonPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_2
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,C,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,C,C,E,E,E,E,E,E,E,D,C,D,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,C,C,C,E,E,E,E,E,E,D,C,D,C,E,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,C,C,C,C,E,E,E,E,E,D,C,D,C,D,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,C,C,C,C,C,E,E,E,E,D,C,D,C,D,C,E,E,E,E,C,EveryNthDefectorPlayer_2
D,C,C,C,C,C,C,E,E,E,D,C,D,C,D,C,D,E,E,E,D,EveryNthDefectorPlayer_2
D,C,C,C,C,C,C,D,E,E,D,C,D,C,D,C,D,C,E,E,C,EveryNthDefectorPlayer_2
D,C,C,C,C,C,C,D,C,E,D,C,D,C,D,C,D,C,D,E,D,EveryNthDefectorPlayer_2
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_3
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_3
D,D,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_3
D,D,C,E,E,E,E,E,E,E,D,C,C,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_3
D,D,C,C,E,E,E,E,E,E,D,C,C,D,E,E,E,E,E,E,D,EveryNthDefectorPlayer_3
D,D,C,C,D,E,E,E,E,E,D,C,C,D,C,E,E,E,E,E,C,EveryNthDefectorPlayer_3
D,D,C,C,D,C,E,E,E,E,D,C,C,D,C,C,E,E,E,E,D,EveryNthDefectorPlayer_3
D,D,C,C,D,C,D,E,E,E,D,C,C,D,C,C,D,E,E,E,C,EveryNthDefectorPlayer_3
D,D,C,C,D,C,D,C,E,E,D,C,C,D,C,C,D,C,E,E,D,EveryNthDefectorPlayer_3
D,D,C,C,D,C,D,C,D,E,D,C,C,D,C,C,D,C,C,E,D,EveryNthDefectorPlayer_3
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_4
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_4
D,D,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_4
D,D,C,E,E,E,E,E,E,E,D,C,C,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_4
D,D,C,D,E,E,E,E,E,E,D,C,C,C,E,E,E,E,E,E,C,EveryNthDefectorPlayer_4
D,D,C,D,C,E,E,E,E,E,D,C,C,C,D,E,E,E,E,E,D,EveryNthDefectorPlayer_4
D,D,C,D,C,D,E,E,E,E,D,C,C,C,D,C,E,E,E,E,C,EveryNthDefectorPlayer_4
D,D,C,D,C,D,C,E,E,E,D,C,C,C,D,C,C,E,E,E,D,EveryNthDefectorPlayer_4
D,D,C,D,C,D,C,D,E,E,D,C,C,C,D,C,C,C,E,E,D,EveryNthDefectorPlayer_4
D,D,C,D,C,D,C,D,D,E,D,C,C,C,D,C,C,C,D,E,C,EveryNthDefectorPlayer_4
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_5
D,C,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,C,D,E,E,E,E,E,E,E,D,C,C,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,C,D,D,E,E,E,E,E,E,D,C,C,C,E,E,E,E,E,E,C,EveryNthDefectorPlayer_5
D,C,D,D,C,E,E,E,E,E,D,C,C,C,C,E,E,E,E,E,C,EveryNthDefectorPlayer_5
D,C,D,D,C,C,E,E,E,E,D,C,C,C,C,D,E,E,E,E,D,EveryNthDefectorPlayer_5
D,C,D,D,C,C,D,E,E,E,D,C,C,C,C,D,C,E,E,E,D,EveryNthDefectorPlayer_5
D,C,D,D,C,C,D,D,E,E,D,C,C,C,C,D,C,C,E,E,D,EveryNthDefectorPlayer_5
D,C,D,D,C,C,D,D,D,E,D,C,C,C,C,D,C,C,C,E,C,EveryNthDefectorPlayer_5
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,CooperativePlayer
D,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,CooperativePlayer
D,C,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,C,CooperativePlayer
D,C,C,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,C,CooperativePlayer
D,C,C,C,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,C,CooperativePlayer
D,C,C,C,C,E,E,E,E,E,C,C,C,C,C,E,E,E,E,E,C,CooperativePlayer
D,C,C,C,C,C,E,E,E,E,C,C,C,C,C,C,E,E,E,E,D,CooperativePlayer
D,C,C,C,C,C,D,E,E,E,C,C,C,C,C,C,C,E,E,E,C,CooperativePlayer
D,C,C,C,C,C,D,C,E,E,C,C,C,C,C,C,C,C,E,E,D,CooperativePlayer
D,C,C,C,C,C,D,C,D,E,C,C,C,C,C,C,C,C,C,E,C,CooperativePlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EgoisticPlayer
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,EgoisticPlayer
D,C,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E,C,EgoisticPlayer
D,C,C,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,E,E,C,EgoisticPlayer
D,C,C,C,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,C,EgoisticPlayer
D,C,C,C,C,E,E,E,E,E,D,D,D,D,D,E,E,E,E,E,D,EgoisticPlayer
D,C,C,C,C,D,E,E,E,E,D,D,D,D,D,D,E,E,E,E,C,EgoisticPlayer
D,C,C,C,C,D,C,E,E,E,D,D,D,D,D,D,D,E,E,E,D,EgoisticPlayer
D,C,C,C,C,D,C,D,E,E,D,D,D,D,D,D,D,D,E,E,C,EgoisticPlayer
D,C,C,C,C,D,C,D,C,E,D,D,D,D,D,D,D,D,D,E,C,EgoisticPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E,D,RandomPlayer
D,C,D,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,E,E,C,RandomPlayer
D,C,D,C,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,C,RandomPlayer
D,C,D,C,C,E,E,E,E,E,D,D,D,D,D,E,E,E,E,E,C,RandomPlayer
D,C,D,C,C,C,E,E,E,E,D,D,D,D,D,D,E,E,E,E,C,RandomPlayer
D,C,D,C,C,C,C,E,E,E,D,D,D,D,D,D,C,E,E,E,C,RandomPlayer
D,C,D,C,C,C,C,C,E,E,D,D,D,D,D,D,C,C,E,E,C,RandomPlayer
D,C,D,C,C,C,C,C,C,E,D,D,D,D,D,D,C,C,D,E,D,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,RandomPlayer
C,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,RandomPlayer
C,C,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E,C,RandomPlayer
C,C,C,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,E,E,C,RandomPlayer
C,C,C,C,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,C,RandomPlayer
C,C,C,C,C,E,E,E,E,E,D,D,D,D,D,E,E,E,E,E,C,RandomPlayer
C,C,C,C,C,C,E,E,E,E,D,D,D,D,D,D,E,E,E,E,C,RandomPlayer
C,C,C,C,C,C,C,E,E,E,D,D,D,D,D,D,C,E,E,E,C,RandomPlayer
C,C,C,C,C,C,C,C,E,E,D,D,D,D,D,D,C,C,E,E,D,RandomPlayer
C,C,C,C,C,C,C,C,D,E,D,D,D,D,D,D,C,C,D,E,C,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,D,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,D,RandomPlayer
D,D,D,E,E,E,E,E,E,E,D,C,D,E,E,E,E,E,E,E,D,RandomPlayer
D,D,D,D,E,E,E,E,E,E,D,C,D,D,E,E,E,E,E,E,D,RandomPlayer
D,D,D,D,D,E,E,E,E,E,D,C,D,D,C,E,E,E,E,E,C,RandomPlayer
D,D,D,D,D,C,E,E,E,E,D,C,D,D,C,D,E,E,E,E,C,RandomPlayer
D,D,D,D,D,C,C,E,E,E,D,C,D,D,C,D,D,E,E,E,D,RandomPlayer
D,D,D,D,D,C,C,D,E,E,D,C,D,D,C,D,D,C,E,E,D,RandomPlayer
D,D,D,D,D,C,C,D,D,E,D,C,D,D,C,D,D,C,D,E,C,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,C,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,D,RandomPlayer
D,C,C,D,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,D,RandomPlayer
D,C,C,D,D,E,E,E,E,E,C,C,C,C,C,E,E,E,E,E,D,RandomPlayer
D,C,C,D,D,D,E,E,E,E,C,C,C,C,C,C,E,E,E,E,C,RandomPlayer
D,C,C,D,D,D,C,E,E,E,C,C,C,C,C,C,C,E,E,E,C,RandomPlayer
D,C,C,D,D,D,C,C,E,E,C,C,C,C,C,C,C,D,E,E,C,RandomPlayer
D,C,C,D,D,D,C,C,C,E,C,C,C,C,C,C,C,D,D,E,D,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,C,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,E,E,D,RandomPlayer
D,C,C,D,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,D,RandomPlayer
D,C,C,D,D,E,E,E,E,E,D,D,D,D,C,E,E,E,E,E,D,RandomPlayer
D,C,C,D,D,D,E,E,E,E,D,D,D,D,C,C,E,E,E,E,C,RandomPlayer
D,C,C,D,D,D,C,E,E,E,D,D,D,D,C,C,D,E,E,E,D,RandomPlayer
D,C,C,D,D,D,C,D,E,E,D,D,D,D,C,C,D,D,E,E,C,RandomPlayer
D,C,C,D,D,D,C,D,C,E,D,D,D,D,C,C,D,D,C,E,C,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,GrudgerPlayer
C,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,GrudgerPlayer
C,C,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,C,GrudgerPlayer
C,C,C,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,D,GrudgerPlayer
C,C,C,D,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,D,GrudgerPlayer
C,C,C,D,D,E,E,E,E,E,C,C,C,C,D,E,E,E,E,E,C,GrudgerPlayer
C,C,C,D,D,C,E,E,E,E,C,C,C,C,D,D,E,E,E,E,C,GrudgerPlayer
C,C,C,D,D,C,C,E,E,E,C,C,C,C,D,D,D,E,E,E,C,GrudgerPlayer
C,C,C,D,D,C,C,C,E,E,C,C,C,C,D,D,D,D,E,E,D,GrudgerPlayer
C,C,C,D,D,C,C,C,D,E,C,C,C,C,D,D,D,D,D,E,D,GrudgerPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,DetectivePlayer
D,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,DetectivePlayer
D,C,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,D,DetectivePlayer
D,C,D,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,C,DetectivePlayer
D,C,D,C,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,D,DetectivePlayer
D,C,D,C,D,E,E,E,E,E,C,C,C,C,C,E,E,E,E,E,C,DetectivePlayer
D,C,D,C,D,C,E,E,E,E,C,C,C,C,C,C,E,E,E,E,D,DetectivePlayer
D,C,D,C,D,C,D,E,E,E,C,C,C,C,C,C,C,E,E,E,C,DetectivePlayer
D,C,D,C,D,C,D,C,E,E,C,C,C,C,C,C,C,C,E,E,C,DetectivePlayer
D,C,D,C,D,C,D,C,C,E,C,C,C,C,C,C,C,C,C,E,D,DetectivePlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,TitForTatPlayer
C,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,D,TitForTatPlayer
C,D,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,D,TitForTatPlayer
C,D,D,E,E,E,E,E,E,E,C,C,D,E,E,E,E,E,E,E,D,TitForTatPlayer
C,D,D,D,E,E,E,E,E,E,C,C,D,D,E,E,E,E,E,E,D,TitForTatPlayer
C,D,D,D,D,E,E,E,E,E,C,C,D,D,D,E,E,E,E,E,C,TitForTatPlayer
C,D,D,D,D,C,E,E,E,E,C,C,D,D,D,D,E,E,E,E,D,TitForTatPlayer
C,D,D,D,D,C,D,E,E,E,C,C,D,D,D,D,C,E,E,E,C,TitForTatPlayer
C,D,D,D,D,C,D,C,E,E,C,C,D,D,D,D,C,D,E,E,C,TitForTatPlayer
C,D,D,D,D,C,D,C,C,E,C,C,D,D,D,D,C,D,C,E,D,TitForTatPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,ForgivingTitForTatPlayer
C,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,C,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,C,C,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,C,C,C,E,E,E,E,E,C,C,C,C,C,E,E,E,E,E,D,ForgivingTitForTatPlayer
C,C,C,C,C,D,E,E,E,E,C,C,C,C,C,C,E,E,E,E,C,ForgivingTitForTatPlayer
C,C,C,C,C,D,C,E,E,E,C,C,C,C,C,C,D,E,E,E,C,ForgivingTitForTatPlayer
C,C,C,C,C,D,C,C,E,E,C,C,C,C,C,C,D,C,E,E,D,ForgivingTitForTatPlayer
C,C,C,C,C,D,C,C,D,E,C,C,C,C,C,C,D,C,C,E,C,ForgivingTitForTatPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,SimpletonPlayer
C,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,D,SimpletonPlayer
C,D,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,D,SimpletonPlayer
C,D,D,E,E,E,E,E,E,E,C,C,D,E,E,E,E,E,E,E,C,SimpletonPlayer
C,D,D,C,E,E,E,E,E,E,C,C,D,C,E,E,E,E,E,E,C,SimpletonPlayer
C,D,D,C,C,E,E,E,E,E,C,C,D,C,C,E,E,E,E,E,C,SimpletonPlayer
C,D,D,C,C,C,E,E,E,E,C,C,D,C,C,C,E,E,E,E,C,SimpletonPlayer
C,D,D,C,C,C,C,E,E,E,C,C,D,C,C,C,C,E,E,E,C,SimpletonPlayer
C,D,D,C,C,C,C,C,E,E,C,C,D,C,C,C,C,C,E,E,C,SimpletonPlayer
C,D,D,C,C,C,C,C,C,E,C,C,D,C,C,C,C,C,C,E,D,SimpletonPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_2
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_2
D,D,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_2
D,D,D,E,E,E,E,E,E,E,D,C,D,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,D,D,C,E,E,E,E,E,E,D,C,D,C,E,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,D,D,C,C,E,E,E,E,E,D,C,D,C,D,E,E,E,E,E,C,EveryNthDefectorPlayer_2
D,D,D,C,C,C,E,E,E,E,D,C,D,C,D,C,E,E,E,E,C,EveryNthDefectorPlayer_2
D,D,D,C,C,C,C,E,E,E,D,C,D,C,D,C,D,E,E,E,D,EveryNthDefectorPlayer_2
D,D,D,C,C,C,C,D,E,E,D,C,D,C,D,C,D,C,E,E,C,EveryNthDefectorPlayer_2
D,D,D,C,C,C,C,D,C,E,D,C,D,C,D,C,D,C,D,E,D,EveryNthDefectorPlayer_2
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_3
C,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_3
C,C,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_3
C,C,D,E,E,E,E,E,E,E,D,C,C,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_3
C,C,D,D,E,E,E,E,E,E,D,C,C,D,E,E,E,E,E,E,D,EveryNthDefectorPlayer_3
C,C,D,D,D,E,E,E,E,E,D,C,C,D,C,E,E,E,E,E,C,EveryNthDefectorPlayer_3
C,C,D,D,D,C,E,E,E,E,D,C,C,D,C,C,E,E,E,E,C,EveryNthDefectorPlayer_3
C,C,D,D,D,C,C,E,E,E,D,C,C,D,C,C,D,E,E,E,D,EveryNthDefectorPlayer_3
C,C,D,D,D,C,C,D,E,E,D,C,C,D,C,C,D,C,E,E,C,EveryNthDefectorPlayer_3
C,C,D,D,D,C,C,D,C,E,D,C,C,D,C,C,D,C,C,E,D,EveryNthDefectorPlayer_3
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_4
C,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_4
C,C,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_4
C,C,D,E,E,E,E,E,E,E,D,C,C,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_4
C,C,D,C,E,E,E,E,E,E,D,C,C,C,E,E,E,E,E,E,C,EveryNthDefectorPlayer_4
C,C,D,C,C,E,E,E,E,E,D,C,C,C,D,E,E,E,E,E,D,EveryNthDefectorPlayer_4
C,C,D,C,C,D,E,E,E,E,D,C,C,C,D,C,E,E,E,E,D,EveryNthDefectorPlayer_4
C,C,D,C,C,D,D,E,E,E,D,C,C,C,D,C,C,E,E,E,D,EveryNthDefectorPlayer_4
C,C,D,C,C,D,D,D,E,E,D,C,C,C,D,C,C,C,E,E,C,EveryNthDefectorPlayer_4
C,C,D,C,C,D,D,D,C,E,D,C,C,C,D,C,C,C,D,E,C,EveryNthDefectorPlayer_4
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,D,E,E,E,E,E,E,E,E,D,C,E,E,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,D,D,E,E,E,E,E,E,E,D,C,C,E,E,E,E,E,E,E,C,EveryNthDefectorPlayer_5
D,D,D,C,E,E,E,E,E,E,D,C,C,C,E,E,E,E,E,E,D,EveryNthDefectorPlayer_5
D,D,D,C,D,E,E,E,E,E,D,C,C,C,C,E,E,E,E,E,C,EveryNthDefectorPlayer_5
D,D,D,C,D,C,E,E,E,E,D,C,C,C,C,D,E,E,E,E,D,EveryNthDefectorPlayer_5
D,D,D,C,D,C,D,E,E,E,D,C,C,C,C,D,C,E,E,E,C,EveryNthDefectorPlayer_5
D,D,D,C,D,C,D,C,E,E,D,C,C,C,C,D,C,C,E,E,D,EveryNthDefectorPlayer_5
D,D,D,C,D,C,D,C,D,E,D,C,C,C,C,D,C,C,C,E,D,EveryNthDefectorPlayer_5
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,CooperativePlayer
C,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,D,CooperativePlayer
C,D,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,C,CooperativePlayer
C,D,C,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,D,CooperativePlayer
C,D,C,D,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,D,CooperativePlayer
C,D,C,D,D,E,E,E,E,E,C,C,C,C,C,E,E,E,E,E,C,CooperativePlayer
C,D,C,D,D,C,E,E,E,E,C,C,C,C,C,C,E,E,E,E,D,CooperativePlayer
C,D,C,D,D,C,D,E,E,E,C,C,C,C,C,C,C,E,E,E,D,CooperativePlayer
C,D,C,D,D,C,D,D,E,E,C,C,C,C,C,C,C,C,E,E,C,CooperativePlayer
C,D,C,D,D,C,D,D,C,E,C,C,C,C,C,C,C,C,C,E,C,CooperativePlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,EgoisticPlayer
C,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,C,EgoisticPlayer
C,C,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E,D,EgoisticPlayer
C,C,D,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,E,E,C,EgoisticPlayer
C,C,D,C,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,C,EgoisticPlayer
C,C,D,C,C,E,E,E,E,E,D,D,D,D,D,E,E,E,E,E,D,EgoisticPlayer
C,C,D,C,C,D,E,E,E,E,D,D,D,D,D,D,E,E,E,E,D,EgoisticPlayer
C,C,D,C,C,D,D,E,E,E,D,D,D,D,D,D,D,E,E,E,C,EgoisticPlayer
C,C,D,C,C,D,D,C,E,E,D,D,D,D,D,D,D,D,E,E,D,EgoisticPlayer
C,C,D,C,C,D,D,C,D,E,D,D,D,D,D,D,D,D,D,E,C,EgoisticPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,E,E,E,E,E,E,E,E,C,D,E,E,E,E,E,E,E,E,C,RandomPlayer
D,C,C,E,E,E,E,E,E,E,C,D,D,E,E,E,E,E,E,E,D,RandomPlayer
D,C,C,D,E,E,E,E,E,E,C,D,D,C,E,E,E,E,E,E,D,RandomPlayer
D,C,C,D,D,E,E,E,E,E,C,D,D,C,C,E,E,E,E,E,D,RandomPlayer
D,C,C,D,D,D,E,E,E,E,C,D,D,C,C,D,E,E,E,E,D,RandomPlayer
D,C,C,D,D,D,D,E,E,E,C,D,D,C,C,D,C,E,E,E,D,RandomPlayer
D,C,C,D,D,D,D,D,E,E,C,D,D,C,C,D,C,D,E,E,D,RandomPlayer
D,C,C,D,D,D,D,D,D,E,C,D,D,C,C,D,C,D,C,E,D,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,RandomPlayer
C,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,RandomPlayer
C,C,E,E,E,E,E,E,E,E,C,C,E,E,E,E,E,E,E,E,C,RandomPlayer
C,C,C,E,E,E,E,E,E,E,C,C,C,E,E,E,E,E,E,E,D,RandomPlayer
C,C,C,D,E,E,E,E,E,E,C,C,C,D,E,E,E,E,E,E,D,RandomPlayer
C,C,C,D,D,E,E,E,E,E,C,C,C,D,D,E,E,E,E,E,C,RandomPlayer
C,C,C,D,D,C,E,E,E,E,C,C,C,D,D,C,E,E,E,E,D,RandomPlayer
C,C,C,D,D,C,D,E,E,E,C,C,C,D,D,C,D,E,E,E,D,RandomPlayer
C,C,C,D,D,C,D,D,E,E,C,C,C,D,D,C,D,D,E,E,C,RandomPlayer
C,C,C,D,D,C,D,D,C,E,C,C,C,D,D,C,D,D,D,E,C,RandomPlayer
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,RandomPlayer
D,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,RandomPlayer
